{'bleu': 0.35570255994157035, 'precisions': [0.6526315789473685, 0.3723404255319149], 'brevity_penalty': 0.7215772849379724, 'length_ratio': 0.753968253968254, 'translation_length': 95, 'reference_length': 126}
{'bleu': 0.30408986211303374, 'precisions': [0.40217391304347827, 0.22992700729927007], 'brevity_penalty': 1.0, 'length_ratio': 1.4081632653061225, 'translation_length': 276, 'reference_length': 196}
{'bleu': 0.4533446578702148, 'precisions': [0.5573033707865168, 0.36877828054298645], 'brevity_penalty': 1.0, 'length_ratio': 1.0853658536585367, 'translation_length': 445, 'reference_length': 410}
{'bleu': 0.448115270455486, 'precisions': [0.5776892430278885, 0.3855421686746988], 'brevity_penalty': 0.9495255609263376, 'length_ratio': 0.9507575757575758, 'translation_length': 502, 'reference_length': 528}
{'bleu': 0.4532932128999672, 'precisions': [0.5501730103806228, 0.37347294938917974], 'brevity_penalty': 1.0, 'length_ratio': 1.0194003527336861, 'translation_length': 578, 'reference_length': 567}
{'bleu': 0.45460878419346706, 'precisions': [0.5612903225806452, 0.38273615635179153], 'brevity_penalty': 0.9808312635870371, 'length_ratio': 0.9810126582278481, 'translation_length': 620, 'reference_length': 632}
{'bleu': 0.4255047196460216, 'precisions': [0.5269709543568465, 0.3435754189944134], 'brevity_penalty': 1.0, 'length_ratio': 1.0013850415512466, 'translation_length': 723, 'reference_length': 722}
{'bleu': 0.45932859152507916, 'precisions': [0.5544430538172715, 0.3805309734513274], 'brevity_penalty': 1.0, 'length_ratio': 1.013959390862944, 'translation_length': 799, 'reference_length': 788}
{'bleu': 0.4554894787981813, 'precisions': [0.5781071835803877, 0.41244239631336405], 'brevity_penalty': 0.9328085456246307, 'length_ratio': 0.9349680170575693, 'translation_length': 877, 'reference_length': 938}
{'bleu': 0.4841460253689815, 'precisions': [0.6046511627906976, 0.4484167517875383], 'brevity_penalty': 0.9297860166828151, 'length_ratio': 0.9321394910461829, 'translation_length': 989, 'reference_length': 1061}
{'bleu': 0.5178709578496319, 'precisions': [0.6186666666666667, 0.47127468581687615], 'brevity_penalty': 0.9590828864234962, 'length_ratio': 0.9598976109215017, 'translation_length': 1125, 'reference_length': 1172}
{'bleu': 0.5307018687925817, 'precisions': [0.6293766011955594, 0.48490077653149266], 'brevity_penalty': 0.9606581703149891, 'length_ratio': 0.9614121510673235, 'translation_length': 1171, 'reference_length': 1218}
{'bleu': 0.5205078515057132, 'precisions': [0.6146496815286624, 0.4690265486725664], 'brevity_penalty': 0.9694261743054029, 'length_ratio': 0.9698841698841699, 'translation_length': 1256, 'reference_length': 1295}
{'bleu': 0.5523347176926963, 'precisions': [0.6408959537572254, 0.4985401459854015], 'brevity_penalty': 0.9771438637349902, 'length_ratio': 0.9774011299435028, 'translation_length': 1384, 'reference_length': 1416}
{'bleu': 0.501553050898323, 'precisions': [0.6334012219959266, 0.4842249657064472], 'brevity_penalty': 0.9056363371564554, 'length_ratio': 0.9098208770846201, 'translation_length': 1473, 'reference_length': 1619}
{'bleu': 0.5113993432678381, 'precisions': [0.6404715127701375, 0.49503639973527463], 'brevity_penalty': 0.9082213154757591, 'length_ratio': 0.9121863799283154, 'translation_length': 1527, 'reference_length': 1674}
{'bleu': 0.5044768043423218, 'precisions': [0.6488020176544766, 0.5060548119821542], 'brevity_penalty': 0.8804127575198111, 'length_ratio': 0.8870246085011185, 'translation_length': 1586, 'reference_length': 1788}
{'bleu': 0.5387580915236609, 'precisions': [0.6704352741661956, 0.53912050256996], 'brevity_penalty': 0.8961329653077086, 'length_ratio': 0.9011716760061131, 'translation_length': 1769, 'reference_length': 1963}
{'bleu': 0.52228137524651, 'precisions': [0.6784548422198041, 0.5464540956569544], 'brevity_penalty': 0.8577628307543309, 'length_ratio': 0.8669811320754717, 'translation_length': 1838, 'reference_length': 2120}
{'bleu': 0.5221921529924773, 'precisions': [0.6520392359318534, 0.5226917057902973], 'brevity_penalty': 0.894480077567184, 'length_ratio': 0.8996748722712494, 'translation_length': 1937, 'reference_length': 2153}
{'bleu': 0.5339540390901124, 'precisions': [0.651685393258427, 0.5246791707798618], 'brevity_penalty': 0.9131412687978013, 'length_ratio': 0.916703985669503, 'translation_length': 2047, 'reference_length': 2233}
{'bleu': 0.5319097270259365, 'precisions': [0.6462650602409639, 0.5197272284461764], 'brevity_penalty': 0.9177932491389281, 'length_ratio': 0.920994229915668, 'translation_length': 2075, 'reference_length': 2253}
{'bleu': 0.5261822390151077, 'precisions': [0.6405135520684736, 0.5139423076923076], 'brevity_penalty': 0.9170960818416372, 'length_ratio': 0.9203501094091904, 'translation_length': 2103, 'reference_length': 2285}
{'bleu': 0.5386523138649144, 'precisions': [0.6480036714089031, 0.5252900232018561], 'brevity_penalty': 0.9232519218443622, 'length_ratio': 0.9260518487037824, 'translation_length': 2179, 'reference_length': 2353}
{'bleu': 0.5478435799110419, 'precisions': [0.6551724137931034, 0.5348731884057971], 'brevity_penalty': 0.9254508545529364, 'length_ratio': 0.92809642560266, 'translation_length': 2233, 'reference_length': 2406}
{'bleu': 0.5413754982715925, 'precisions': [0.6513840830449827, 0.5271216097987752], 'brevity_penalty': 0.923899250874919, 'length_ratio': 0.9266533066132264, 'translation_length': 2312, 'reference_length': 2495}
{'bleu': 0.5372037030183766, 'precisions': [0.6580671580671581, 0.5329192546583851], 'brevity_penalty': 0.9071376308263494, 'length_ratio': 0.9111940298507463, 'translation_length': 2442, 'reference_length': 2680}
{'bleu': 0.5395656374971102, 'precisions': [0.6594982078853047, 0.5344341522351993], 'brevity_penalty': 0.9088461505784025, 'length_ratio': 0.9127589967284624, 'translation_length': 2511, 'reference_length': 2751}
{'bleu': 0.5415007621392438, 'precisions': [0.653861078773768, 0.5286499215070644], 'brevity_penalty': 0.92102674781059, 'length_ratio': 0.9239870921477232, 'translation_length': 2577, 'reference_length': 2789}
{'bleu': 0.5525620439996094, 'precisions': [0.662781954887218, 0.5406844106463878], 'brevity_penalty': 0.923046941751776, 'length_ratio': 0.9258614688478942, 'translation_length': 2660, 'reference_length': 2873}
{'bleu': 0.5527244715325891, 'precisions': [0.6654302670623146, 0.5437148217636022], 'brevity_penalty': 0.9189075750179343, 'length_ratio': 0.9220246238030095, 'translation_length': 2696, 'reference_length': 2924}
{'bleu': 0.5564733507000494, 'precisions': [0.6690725369902563, 0.5483753194596568], 'brevity_penalty': 0.9186896396931098, 'length_ratio': 0.9218230206254159, 'translation_length': 2771, 'reference_length': 3006}
{'bleu': 0.5346840388368275, 'precisions': [0.67336860670194, 0.5492505353319058], 'brevity_penalty': 0.8791956747671282, 'length_ratio': 0.8859375, 'translation_length': 2835, 'reference_length': 3200}
{'bleu': 0.5380173553168371, 'precisions': [0.6754120417087117, 0.5515481456277646], 'brevity_penalty': 0.8814956455696848, 'length_ratio': 0.8879928315412187, 'translation_length': 2973, 'reference_length': 3348}
{'bleu': 0.5410573481694415, 'precisions': [0.6690813302601252, 0.5469686875416389], 'brevity_penalty': 0.8943810962524977, 'length_ratio': 0.8995853080568721, 'translation_length': 3037, 'reference_length': 3376}
{'bleu': 0.5472357727247821, 'precisions': [0.6712903225806451, 0.5512402088772846], 'brevity_penalty': 0.8995987471136248, 'length_ratio': 0.9043173862310385, 'translation_length': 3100, 'reference_length': 3428}
{'bleu': 0.5432376075310569, 'precisions': [0.67513496348047, 0.554305912596401], 'brevity_penalty': 0.8880139178896896, 'length_ratio': 0.8938404768663071, 'translation_length': 3149, 'reference_length': 3523}
{'bleu': 0.5455675856509685, 'precisions': [0.6842424242424242, 0.5662170447578173], 'brevity_penalty': 0.8765003442916044, 'length_ratio': 0.8835341365461847, 'translation_length': 3300, 'reference_length': 3735}
{'bleu': 0.5407134044001422, 'precisions': [0.6831300208271348, 0.5644190246839254], 'brevity_penalty': 0.8707923967078138, 'length_ratio': 0.8784631468897021, 'translation_length': 3361, 'reference_length': 3826}
{'bleu': 0.5430699377962354, 'precisions': [0.6548082267926626, 0.5356942102304666], 'brevity_penalty': 0.9169385311001174, 'length_ratio': 0.9202046035805627, 'translation_length': 3598, 'reference_length': 3910}
{'bleu': 0.541532876551842, 'precisions': [0.6397709526288391, 0.5177584846093133], 'brevity_penalty': 0.9409118899733633, 'length_ratio': 0.9425907752698724, 'translation_length': 3842, 'reference_length': 4076}
{'bleu': 0.5318006212686254, 'precisions': [0.6431673052362707, 0.5225923057061709], 'brevity_penalty': 0.9172872459439495, 'length_ratio': 0.9205266870444392, 'translation_length': 3915, 'reference_length': 4253}
{'bleu': 0.5316009432209771, 'precisions': [0.6471177944862155, 0.5262224474284266], 'brevity_penalty': 0.9109811415982346, 'length_ratio': 0.9147180192572214, 'translation_length': 3990, 'reference_length': 4362}
{'bleu': 0.5150693889803973, 'precisions': [0.6443670728674459, 0.5232587377420166], 'brevity_penalty': 0.8870351416288033, 'length_ratio': 0.8929602487230736, 'translation_length': 4021, 'reference_length': 4503}
{'bleu': 0.5138722626034063, 'precisions': [0.6403229752874969, 0.5195447798119742], 'brevity_penalty': 0.8909311447607229, 'length_ratio': 0.8964685237990787, 'translation_length': 4087, 'reference_length': 4559}
{'bleu': 0.5119836274970756, 'precisions': [0.6390031454149528, 0.5184732077318326], 'brevity_penalty': 0.8894907080049455, 'length_ratio': 0.8951700238249946, 'translation_length': 4133, 'reference_length': 4617}
{'bleu': 0.5182683783584592, 'precisions': [0.6397163120567376, 0.5213961271814487], 'brevity_penalty': 0.8973814722570745, 'length_ratio': 0.9023037542662116, 'translation_length': 4230, 'reference_length': 4688}
{'bleu': 0.5159326451806856, 'precisions': [0.633851869050383, 0.5149096031932379], 'brevity_penalty': 0.9030953890534992, 'length_ratio': 0.9075010535187527, 'translation_length': 4307, 'reference_length': 4746}
{'bleu': 0.5189880163929059, 'precisions': [0.6216455976935019, 0.5035874439461884], 'brevity_penalty': 0.9275737550444697, 'length_ratio': 0.9300742574257426, 'translation_length': 4509, 'reference_length': 4848}
{'bleu': 0.5152239289626712, 'precisions': [0.6218468962491774, 0.5032157906409404], 'brevity_penalty': 0.9210371744014297, 'length_ratio': 0.9239967571949737, 'translation_length': 4559, 'reference_length': 4934}
{'bleu': 0.5171123713772675, 'precisions': [0.6267001464741577, 0.5065566835871405], 'brevity_penalty': 0.9177851045255658, 'length_ratio': 0.9209867026402004, 'translation_length': 4779, 'reference_length': 5189}
{'bleu': 0.5121748234766076, 'precisions': [0.6196982055464927, 0.4960840890354493], 'brevity_penalty': 0.9237415062394632, 'length_ratio': 0.9265067069714717, 'translation_length': 4904, 'reference_length': 5293}
{'bleu': 0.5036961314802373, 'precisions': [0.6258692628650904, 0.5006024096385542], 'brevity_penalty': 0.8998711651481641, 'length_ratio': 0.9045650611071172, 'translation_length': 5033, 'reference_length': 5564}
{'bleu': 0.5078701537895031, 'precisions': [0.6318767069840031, 0.5084779179810726], 'brevity_penalty': 0.8959844439167495, 'length_ratio': 0.9010370891193531, 'translation_length': 5126, 'reference_length': 5689}
{'bleu': 0.5081527650719903, 'precisions': [0.632901604484825, 0.5105509964830012], 'brevity_penalty': 0.8939364187278256, 'length_ratio': 0.8991830349382931, 'translation_length': 5173, 'reference_length': 5753}
{'bleu': 0.5037269665024201, 'precisions': [0.6302843966179862, 0.5079642579642579], 'brevity_penalty': 0.8902466448575428, 'length_ratio': 0.8958512652780168, 'translation_length': 5204, 'reference_length': 5809}
{'bleu': 0.5070357387375886, 'precisions': [0.6251648144660011, 0.5045696877380046], 'brevity_penalty': 0.902777507400261, 'length_ratio': 0.9072112098427888, 'translation_length': 5309, 'reference_length': 5852}
{'bleu': 0.5122516227528157, 'precisions': [0.6294917147644759, 0.5102578580839451], 'brevity_penalty': 0.9038440071873513, 'length_ratio': 0.9081839702401082, 'translation_length': 5371, 'reference_length': 5914}
{'bleu': 0.5139032292651822, 'precisions': [0.628765613519471, 0.5097493036211699], 'brevity_penalty': 0.9077340672824451, 'length_ratio': 0.9117400770390219, 'translation_length': 5444, 'reference_length': 5971}
